RMSE MAE Bias
0.0 0.0 0.0
11.780797958374023 8.548311233520508 0.061007510870695114
15.3524751663208 11.385464668273926 0.22942787408828735
16.744619369506836 12.400121688842773 0.2224922776222229
16.456851959228516 12.122245788574219 0.19363583624362946
16.708383560180664 12.434059143066406 -0.2891538441181183
17.349946975708008 13.065644264221191 -0.35654932260513306
18.010204315185547 13.486041069030762 0.13324923813343048
17.576290130615234 13.275394439697266 0.5331669449806213
17.627344131469727 13.414865493774414 0.4799104630947113
18.17203712463379 13.710883140563965 0.565270185470581
18.585710525512695 13.954360008239746 0.7433146238327026
18.894712448120117 14.182907104492188 0.9756824374198914
18.9509220123291 14.242105484008789 1.0461310148239136
18.79355812072754 14.14837646484375 1.137982726097107
18.99159812927246 14.231534004211426 1.1989182233810425
19.22893714904785 14.406681060791016 1.268999457359314
19.281368255615234 14.51814079284668 1.3862775564193726
19.49179458618164 14.654842376708984 1.4805340766906738
19.69655990600586 14.797104835510254 1.6090964078903198
19.53655242919922 14.754518508911133 1.6673599481582642
19.469205856323242 14.748509407043457 1.6506540775299072
19.503028869628906 14.750794410705566 1.637746810913086
19.64533042907715 14.810264587402344 1.7516350746154785
19.601760864257812 14.839310646057129 1.815043568611145
19.7039852142334 14.922968864440918 1.8137303590774536
19.701576232910156 14.9160737991333 1.887181282043457
19.577964782714844 14.837446212768555 2.0003771781921387
19.690080642700195 14.956503868103027 1.936397671699524
19.72100830078125 14.965471267700195 2.0413894653320312
19.81378936767578 15.065960884094238 2.0641720294952393
19.991188049316406 15.201885223388672 1.954140067100525
19.947158813476562 15.12597370147705 1.9987776279449463
20.017559051513672 15.18754768371582 2.021730422973633
19.972185134887695 15.144667625427246 2.2051186561584473
20.108400344848633 15.273482322692871 2.293750286102295
0.0 0.0 0.0
14.008663177490234 10.073040008544922 -0.010317445732653141
17.71555519104004 13.04366683959961 0.10683994740247726
18.441959381103516 13.563359260559082 0.16090844571590424
16.902076721191406 12.585027694702148 0.04418182000517845
16.61553382873535 12.3969144821167 0.015359306707978249
18.475339889526367 13.558405876159668 0.11314257234334946
19.877685546875 14.492274284362793 0.154605433344841
19.37004852294922 14.262561798095703 0.14763802289962769
19.14626121520996 14.192492485046387 0.1871105432510376
19.386211395263672 14.395918846130371 0.23987290263175964
19.261720657348633 14.41198444366455 0.2322586476802826
19.201154708862305 14.392319679260254 0.21156242489814758
18.964141845703125 14.189740180969238 0.23580166697502136
18.911651611328125 14.101290702819824 0.2687426805496216
19.09693717956543 14.16148567199707 0.25999245047569275
19.235301971435547 14.247821807861328 0.22394287586212158
19.137327194213867 14.231998443603516 0.2198912501335144
19.192079544067383 14.254276275634766 0.22441770136356354
19.271455764770508 14.330740928649902 0.24031831324100494
19.300594329833984 14.305450439453125 0.2399817854166031
19.384048461914062 14.367203712463379 0.2606256604194641
19.24844741821289 14.314311981201172 0.2944437563419342
19.249807357788086 14.282925605773926 0.2976183593273163
19.321020126342773 14.37862777709961 0.22708764672279358
19.406818389892578 14.3839693069458 0.2631586790084839
19.55255699157715 14.462724685668945 0.31084761023521423
19.498483657836914 14.433675765991211 0.261917382478714
19.53584861755371 14.460594177246094 0.24360869824886322
19.417097091674805 14.362531661987305 0.25602880120277405
19.419050216674805 14.381478309631348 0.27167779207229614
19.557634353637695 14.501299858093262 0.2940419912338257
19.400033950805664 14.421303749084473 0.2924515902996063
19.362144470214844 14.413395881652832 0.26804256439208984
19.34690284729004 14.374135971069336 0.3046504259109497
19.452280044555664 14.458517074584961 0.29286372661590576
0.0 0.0 0.0
5.79683256149292 4.1236958503723145 0.23152978718280792
7.402951240539551 5.467742443084717 0.3150210678577423
8.149407386779785 5.974420547485352 0.14132486283779144
7.763942241668701 5.661844253540039 -0.15293505787849426
7.764139175415039 5.71091365814209 -0.3121933937072754
