mae fcst level var
5.273118 24 500 gh
9.39316 48 500 gh
14.489143 72 500 gh
27.539991 120 500 gh
37.60317 168 500 gh
47.259037 192 500 gh
57.111843 216 500 gh
71.331215 240 500 gh
72.244705 288 500 gh
72.078735 312 500 gh
75.02978 336 500 gh
79.89216 480 500 gh
79.416405 504 500 gh
76.12821 528 500 gh
81.021255 552 500 gh
81.04529 600 500 gh
75.82457 624 500 gh
80.91749 672 500 gh
83.607956 696 500 gh
84.16401 720 500 gh
83.3463 744 500 gh
77.644 768 500 gh
80.64964 792 500 gh
79.012314 816 500 gh
78.052345 840 500 gh
