bias fcst level var
-0.14658488 24 250 u
-0.20176165 48 250 u
-0.24402365 72 250 u
-0.25491896 120 250 u
-0.045572784 168 250 u
-0.08162408 192 250 u
-0.59762496 216 250 u
-0.41607484 240 250 u
-0.33159906 288 250 u
-0.42116114 312 250 u
-1.1130118 336 250 u
-1.3939337 480 250 u
-1.0938729 504 250 u
-1.0721346 528 250 u
-1.3126872 552 250 u
-1.1363307 600 250 u
-1.1403174 624 250 u
-1.2733301 672 250 u
-1.3807052 696 250 u
-0.93408126 720 250 u
-1.4424629 744 250 u
-1.1523836 768 250 u
-1.2812349 792 250 u
-1.3343855 816 250 u
-1.2273606 840 250 u
