rmse fcst level var
7.161253400240154 24 1000 gh
11.176986101384704 48 1000 gh
17.461553575540876 72 1000 gh
33.04520903011131 120 1000 gh
41.75864051447542 168 1000 gh
48.471618528107506 192 1000 gh
59.54357852985177 216 1000 gh
66.58678767569998 240 1000 gh
63.98298228032494 288 1000 gh
64.83171951652022 312 1000 gh
67.43300349930662 336 1000 gh
68.06695491618896 480 1000 gh
68.39056252852984 504 1000 gh
68.9210832957249 528 1000 gh
66.46115744717925 552 1000 gh
68.82835024083462 600 1000 gh
66.20739712142255 624 1000 gh
70.49755162526036 672 1000 gh
73.0642275512186 696 1000 gh
73.0247108754119 720 1000 gh
74.19556216723814 744 1000 gh
68.58202846887988 768 1000 gh
72.81721752421436 792 1000 gh
64.00442871029512 816 1000 gh
67.7654718841941 840 1000 gh
