mae fcst level var
2.0231197 24 250 u
2.8959496 48 250 u
3.8684614 72 250 u
5.9707465 120 250 u
7.862757 168 250 u
8.895773 192 250 u
9.997665 216 250 u
11.464543 240 250 u
11.519724 288 250 u
11.778603 312 250 u
11.752724 336 250 u
12.761506 480 250 u
11.7364855 504 250 u
11.783754 528 250 u
12.274623 552 250 u
12.949011 600 250 u
12.318529 624 250 u
12.596504 672 250 u
12.617655 696 250 u
12.996099 720 250 u
12.78683 744 250 u
12.84263 768 250 u
12.77146 792 250 u
12.734851 816 250 u
12.285031 840 250 u
