bias fcst level var
-0.71450675 24 500 gh
-1.7325997 48 500 gh
-0.18998821 72 500 gh
-0.35827327 120 500 gh
-5.2796683 168 500 gh
-5.9842253 192 500 gh
-3.582357 216 500 gh
-6.6313033 240 500 gh
-4.626708 288 500 gh
-4.73961 312 500 gh
-0.50712824 336 500 gh
10.091764 480 500 gh
9.066616 504 500 gh
5.926087 528 500 gh
9.708173 552 500 gh
12.679394 600 500 gh
5.9693565 624 500 gh
5.6971908 672 500 gh
9.041921 696 500 gh
10.417862 720 500 gh
13.023954 744 500 gh
4.678196 768 500 gh
8.305917 792 500 gh
3.8469884 816 500 gh
8.359108 840 500 gh
