rmse fcst level var
7.271908247953242 24 500 gh
12.519266158464895 48 500 gh
20.555587209499606 72 500 gh
41.64000204740404 120 500 gh
51.432480484885474 168 500 gh
67.88215388750014 192 500 gh
85.8759268054063 216 500 gh
102.5448168028253 240 500 gh
99.21814960448265 288 500 gh
100.23795906491712 312 500 gh
101.40571070734873 336 500 gh
109.10269674714736 480 500 gh
104.7042523909607 504 500 gh
102.93674578503295 528 500 gh
109.01018623562203 552 500 gh
107.54225641143346 600 500 gh
101.74318542904975 624 500 gh
109.59724295830848 672 500 gh
113.91135105176086 696 500 gh
111.61301377415629 720 500 gh
112.61662357862626 744 500 gh
104.55367846081505 768 500 gh
109.78739219225038 792 500 gh
105.92882523480094 816 500 gh
104.72872788930695 840 500 gh
