rmse fcst level var
2.7778721560233763 24 250 u
4.005820569427473 48 250 u
5.271389033560286 72 250 u
7.902326130340589 120 250 u
10.374641504183748 168 250 u
11.757462100260518 192 250 u
13.231635844965998 216 250 u
15.024105793118354 240 250 u
15.233628787814212 288 250 u
15.333012010828751 312 250 u
15.535710697768726 336 250 u
16.42122642332459 480 250 u
15.08799264225219 504 250 u
15.356920482761744 528 250 u
15.889387684590332 552 250 u
16.479495167823803 600 250 u
15.746200345397071 624 250 u
16.241473499217406 672 250 u
16.363103607444668 696 250 u
16.473548725674974 720 250 u
16.23839542072565 744 250 u
16.372524860646877 768 250 u
16.30649359606281 792 250 u
16.2641314756199 816 250 u
15.713361480087775 840 250 u
