mae fcst level var
0.56909764 24 2 2t
0.71046877 48 2 2t
0.82672554 72 2 2t
1.1942202 120 2 2t
1.5447309 168 2 2t
1.6172159 192 2 2t
1.7540951 216 2 2t
1.9968317 240 2 2t
2.0100524 288 2 2t
2.2040033 312 2 2t
2.188359 336 2 2t
2.3639612 480 2 2t
2.2778034 504 2 2t
2.222882 528 2 2t
2.3345487 552 2 2t
2.3620589 600 2 2t
2.2726948 624 2 2t
2.3061461 672 2 2t
2.353427 696 2 2t
2.3773592 720 2 2t
2.4617991 744 2 2t
2.3538873 768 2 2t
2.3583014 792 2 2t
2.3324068 816 2 2t
2.3217628 840 2 2t
