mae fcst level var
1.2115055 24 850 v
1.4978952 48 850 v
1.9073837 72 850 v
2.7621007 120 850 v
3.1830828 168 850 v
3.6915998 192 850 v
4.1492643 216 850 v
4.7826986 240 850 v
4.461007 288 850 v
4.4377155 312 850 v
4.4657855 336 850 v
4.706736 480 850 v
4.6853876 504 850 v
4.5383296 528 850 v
4.7260222 552 850 v
4.5674534 600 850 v
4.719351 624 850 v
4.856332 672 850 v
4.7457647 696 850 v
4.647374 720 850 v
4.643506 744 850 v
4.5465574 768 850 v
4.8258834 792 850 v
4.540409 816 850 v
4.5852175 840 850 v
