rmse fcst level var
2.7765929418471798 24 250 v
3.8725169440157976 48 250 v
4.918544453806165 72 250 v
7.960095541682577 120 250 v
9.452174216131937 168 250 v
11.158426195422516 192 250 v
12.528351636450923 216 250 v
14.857475151286431 240 250 v
14.053109929180822 288 250 v
13.834909617380728 312 250 v
13.507602387752796 336 250 v
14.647766130448174 480 250 v
14.367115279861986 504 250 v
14.066739812241943 528 250 v
14.799246093518528 552 250 v
14.057971818696801 600 250 v
14.25786065916524 624 250 v
15.047944820158893 672 250 v
14.894161416861422 696 250 v
14.854852447444625 720 250 v
14.482174670218246 744 250 v
14.258788493992267 768 250 v
15.010152814012255 792 250 v
14.484829563221858 816 250 v
14.090714425898588 840 250 v
